,level,power,date
0,30,427.3,2023-05-16
1,26,360.7,2023-05-16
2,28,311.3,2023-05-16
3,29,387.1,2023-05-16
4,30,453.2,2023-05-16
5,30,396.6,2023-05-16
6,29,337.7,2023-05-16
7,30,699.0,2023-05-16
8,26,290.3,2023-05-16
9,29,358.5,2023-05-16
10,11,14.7,2023-05-16
11,28,351.1,2023-05-16
12,30,670.2,2023-05-16
13,30,499.2,2023-05-16
14,29,381.6,2023-05-16
15,29,354.3,2023-05-16
16,29,382.1,2023-05-16
17,24,226.8,2023-05-16
18,29,310.2,2023-05-16
19,29,391.5,2023-05-16
20,29,373.0,2023-05-16
21,21,100.0,2023-05-16
22,29,364.5,2023-05-16
23,28,281.3,2023-05-16
24,21,166.7,2023-05-16
25,26,217.2,2023-05-16
26,26,319.9,2023-05-16
27,30,375.1,2023-05-16
28,27,321.5,2023-05-16
29,29,362.5,2023-05-16
30,26,184.3,2023-05-16
31,24,239.9,2023-05-16
32,20,64.9,2023-05-16
33,22,92.4,2023-05-16
34,24,168.3,2023-05-16
35,25,188.1,2023-05-16
36,27,265.1,2023-05-16
37,29,341.4,2023-05-16
38,28,260.2,2023-05-16
