,level,power,date
0,30,380.8,2023-05-24
1,30,431.4,2023-05-24
2,29,368.9,2023-05-24
3,30,426.0,2023-05-24
4,30,466.4,2023-05-24
5,29,367.0,2023-05-24
6,30,398.9,2023-05-24
7,26,162.1,2023-05-24
8,29,446.6,2023-05-24
9,25,208.5,2023-05-24
10,28,326.6,2023-05-24
11,29,305.9,2023-05-24
12,29,372.2,2023-05-24
13,28,351.8,2023-05-24
14,27,300.9,2023-05-24
15,28,335.1,2023-05-24
16,25,329.1,2023-05-24
17,28,343.9,2023-05-24
18,28,318.0,2023-05-24
19,29,329.7,2023-05-24
20,27,284.2,2023-05-24
21,29,365.3,2023-05-24
22,25,305.1,2023-05-24
23,29,375.7,2023-05-24
24,27,357.1,2023-05-24
25,15,33.6,2023-05-24
26,24,173.9,2023-05-24
27,22,123.8,2023-05-24
28,28,303.1,2023-05-24
29,24,206.4,2023-05-24
30,29,414.6,2023-05-24
31,28,291.1,2023-05-24
32,23,169.8,2023-05-24
33,24,226.0,2023-05-24
34,25,217.2,2023-05-24
35,29,319.6,2023-05-24
36,29,325.6,2023-05-24
37,27,255.9,2023-05-24
38,29,337.7,2023-05-24
39,24,188.0,2023-05-24
40,27,307.2,2023-05-24
41,28,279.5,2023-05-24
42,22,192.0,2023-05-24
43,26,233.5,2023-05-24
44,30,610.2,2023-05-24
45,26,193.7,2023-05-24
46,26,256.4,2023-05-24
47,25,240.3,2023-05-24
48,27,251.1,2023-05-24
49,27,361.1,2023-05-24
50,26,227.6,2023-05-24
51,26,189.4,2023-05-24
52,27,297.6,2023-05-24
53,22,153.1,2023-05-24
54,17,31.5,2023-05-24
55,25,158.0,2023-05-24
56,25,209.0,2023-05-24
57,27,211.3,2023-05-24
58,29,435.9,2023-05-24
59,28,329.4,2023-05-24
60,24,162.0,2023-05-24
61,28,306.3,2023-05-24
62,27,315.8,2023-05-24
