,level,power,date
0,30,462.6,2023-05-21
1,29,384.9,2023-05-21
2,30,604.4,2023-05-21
3,29,477.3,2023-05-21
4,30,432.5,2023-05-21
5,30,550.6,2023-05-21
6,30,545.1,2023-05-21
7,29,400.2,2023-05-21
8,27,362.6,2023-05-21
9,26,288.1,2023-05-21
10,30,531.8,2023-05-21
11,28,359.5,2023-05-21
12,29,449.1,2023-05-21
13,28,391.7,2023-05-21
14,30,420.1,2023-05-21
15,20,78.9,2023-05-21
16,20,76.7,2023-05-21
17,26,233.4,2023-05-21
18,29,219.2,2023-05-21
19,29,381.1,2023-05-21
20,28,463.0,2023-05-21
21,30,464.0,2023-05-21
22,30,381.2,2023-05-21
23,30,524.1,2023-05-21
24,29,423.5,2023-05-21
25,25,315.0,2023-05-21
26,30,524.1,2023-05-21
27,27,391.7,2023-05-21
28,30,546.3,2023-05-21
29,27,380.9,2023-05-21
30,27,302.2,2023-05-21
31,27,204.8,2023-05-21
32,30,578.3,2023-05-21
33,30,567.2,2023-05-21
34,24,152.4,2023-05-21
35,30,469.5,2023-05-21
36,27,437.3,2023-05-21
37,29,388.8,2023-05-21
38,27,250.6,2023-05-21
39,29,464.2,2023-05-21
40,25,303.3,2023-05-21
41,27,389.6,2023-05-21
42,25,326.5,2023-05-21
43,27,328.1,2023-05-21
44,29,360.8,2023-05-21
45,27,190.5,2023-05-21
46,19,59.6,2023-05-21
47,25,274.8,2023-05-21
48,26,256.8,2023-05-21
49,28,299.8,2023-05-21
50,25,266.1,2023-05-21
51,26,224.3,2023-05-21
52,21,98.3,2023-05-21
53,27,232.1,2023-05-21
54,22,139.6,2023-05-21
55,25,241.8,2023-05-21
56,28,257.8,2023-05-21
57,26,308.4,2023-05-21
58,26,321.2,2023-05-21
59,29,369.2,2023-05-21
60,27,284.0,2023-05-21
61,23,182.5,2023-05-21
62,26,354.6,2023-05-21
63,23,236.9,2023-05-21
64,24,173.5,2023-05-21
65,24,147.6,2023-05-21
66,24,172.2,2023-05-21
67,25,191.3,2023-05-21
68,26,243.9,2023-05-21
69,25,200.6,2023-05-21
