,level,power,date
0,30,468.6,2023-05-21
1,30,573.7,2023-05-21
2,30,555.3,2023-05-21
3,30,538.4,2023-05-21
4,30,509.1,2023-05-21
5,30,466.4,2023-05-21
6,30,358.8,2023-05-21
7,29,471.5,2023-05-21
8,29,462.5,2023-05-21
9,29,386.8,2023-05-21
10,27,375.8,2023-05-21
11,27,335.5,2023-05-21
12,21,130.5,2023-05-21
13,30,521.5,2023-05-21
14,27,388.0,2023-05-21
15,25,272.2,2023-05-21
16,30,471.2,2023-05-21
17,27,422.2,2023-05-21
18,30,382.0,2023-05-21
19,30,482.4,2023-05-21
20,30,413.1,2023-05-21
21,30,541.8,2023-05-21
22,30,474.6,2023-05-21
23,30,409.1,2023-05-21
24,29,405.3,2023-05-21
25,27,378.5,2023-05-21
26,30,476.9,2023-05-21
27,30,462.2,2023-05-21
28,30,399.8,2023-05-21
29,28,253.6,2023-05-21
30,30,406.5,2023-05-21
31,28,274.7,2023-05-21
32,28,376.4,2023-05-21
33,26,290.5,2023-05-21
34,16,61.9,2023-05-21
35,28,387.0,2023-05-21
36,28,255.1,2023-05-21
37,28,347.0,2023-05-21
38,27,393.3,2023-05-21
39,24,214.3,2023-05-21
40,29,326.7,2023-05-21
41,26,270.2,2023-05-21
42,28,330.8,2023-05-21
43,29,314.9,2023-05-21
44,27,256.4,2023-05-21
45,28,327.6,2023-05-21
46,27,191.2,2023-05-21
47,26,230.4,2023-05-21
48,28,320.1,2023-05-21
49,27,267.7,2023-05-21
50,27,295.6,2023-05-21
