Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,30,541.7,2023-06-02
1,1,1,1,1,1,30,640.7,2023-06-02
2,2,2,2,2,2,30,590.1,2023-06-02
3,3,3,3,3,3,30,493.6,2023-06-02
4,4,4,4,4,4,30,514.8,2023-06-02
5,5,5,5,5,5,23,147.1,2023-06-02
6,6,6,6,6,6,30,579.5,2023-06-02
7,7,7,7,7,7,28,198.3,2023-06-02
8,8,8,8,8,8,29,351.6,2023-06-02
9,9,9,9,9,9,29,371.0,2023-06-02
10,10,10,10,10,10,20,79.1,2023-06-02
11,11,11,11,11,11,29,411.2,2023-06-02
12,12,12,12,12,12,30,382.6,2023-06-02
13,13,13,13,13,13,29,417.2,2023-06-02
14,14,14,14,14,14,27,340.1,2023-06-02
15,15,15,15,15,15,30,390.5,2023-06-02
16,16,16,16,16,16,30,373.2,2023-06-02
17,17,17,17,17,17,30,645.0,2023-06-02
18,18,18,18,18,18,27,369.5,2023-06-02
19,19,19,19,19,19,30,571.7,2023-06-02
20,20,20,20,20,20,28,443.3,2023-06-02
21,21,21,21,21,21,30,488.6,2023-06-02
22,22,22,22,22,22,20,77.9,2023-06-02
23,23,23,23,23,23,27,352.9,2023-06-02
24,24,24,24,24,24,25,394.2,2023-06-02
25,25,25,25,25,25,27,388.0,2023-06-02
26,26,26,26,26,26,20,75.1,2023-06-02
27,27,27,27,27,27,29,364.2,2023-06-02
28,28,28,28,28,28,27,370.4,2023-06-02
29,29,29,29,29,29,30,527.0,2023-06-02
30,30,30,30,30,30,30,487.6,2023-06-02
31,31,31,31,31,31,29,370.4,2023-06-02
32,32,32,32,32,32,22,132.4,2023-06-02
33,33,33,33,33,33,23,223.7,2023-06-02
34,34,34,34,34,34,30,445.8,2023-06-02
35,35,35,35,35,35,26,365.7,2023-06-02
36,36,36,36,36,36,26,385.0,2023-06-02
37,37,37,37,37,37,21,113.1,2023-06-02
38,38,38,38,38,38,28,378.8,2023-06-02
39,39,39,39,39,39,28,381.7,2023-06-02
40,40,40,40,40,40,26,268.8,2023-06-02
41,41,41,41,41,41,29,328.2,2023-06-02
42,42,42,42,42,42,25,309.7,2023-06-02
43,43,43,43,43,43,25,324.7,2023-06-02
44,44,44,44,44,44,29,230.7,2023-06-02
45,45,45,45,45,45,23,140.0,2023-06-02
46,46,46,46,46,46,30,540.0,2023-06-02
47,47,47,47,47,47,21,116.0,2023-06-02
48,48,48,48,48,48,26,378.4,2023-06-02
49,49,49,49,49,49,30,332.5,2023-06-02
50,50,50,50,50,50,25,299.0,2023-06-02
51,51,51,51,51,51,29,311.9,2023-06-02
52,52,52,52,52,52,23,213.5,2023-06-02
53,53,53,53,53,53,20,92.6,2023-06-02
54,54,54,54,54,54,26,311.8,2023-06-02
55,55,55,55,55,55,29,401.6,2023-06-02
56,56,56,56,56,56,27,258.3,2023-06-02
57,57,57,57,57,57,29,302.1,2023-06-02
58,58,58,58,58,58,21,109.0,2023-06-02
59,59,59,59,59,59,27,300.9,2023-06-02
60,60,60,60,60,60,29,363.1,2023-06-02
61,61,61,61,61,61,29,389.1,2023-06-02
62,62,62,62,62,62,26,252.6,2023-06-02
63,63,63,63,63,63,24,256.6,2023-06-02
64,64,64,64,64,64,24,180.8,2023-06-02
65,65,65,65,65,65,27,319.7,2023-06-02
66,66,66,66,66,66,29,415.3,2023-06-02
67,67,67,67,67,67,26,211.7,2023-06-02
68,68,68,68,68,68,27,325.3,2023-06-02
