,level,power,date
0,30,630.5,2023-05-21
1,30,560.3,2023-05-21
2,30,629.0,2023-05-21
3,30,533.0,2023-05-21
4,30,730.7,2023-05-21
5,30,729.3,2023-05-21
6,30,693.6,2023-05-21
7,28,407.0,2023-05-21
8,30,485.1,2023-05-21
9,28,412.3,2023-05-21
10,25,335.7,2023-05-21
11,30,548.7,2023-05-21
12,29,423.4,2023-05-21
13,30,518.4,2023-05-21
14,28,437.4,2023-05-21
15,30,513.6,2023-05-21
16,29,409.4,2023-05-21
17,30,591.9,2023-05-21
18,30,639.5,2023-05-21
19,30,601.9,2023-05-21
20,30,625.0,2023-05-21
21,30,558.5,2023-05-21
22,30,552.7,2023-05-21
23,28,429.7,2023-05-21
24,30,461.5,2023-05-21
25,30,591.4,2023-05-21
26,28,399.1,2023-05-21
27,29,405.4,2023-05-21
28,30,701.0,2023-05-21
29,26,281.3,2023-05-21
30,30,559.7,2023-05-21
31,29,401.1,2023-05-21
32,30,560.6,2023-05-21
33,30,522.2,2023-05-21
34,28,380.7,2023-05-21
35,30,548.3,2023-05-21
36,30,419.4,2023-05-21
37,30,517.4,2023-05-21
38,30,512.7,2023-05-21
39,27,360.7,2023-05-21
40,30,636.2,2023-05-21
41,30,535.5,2023-05-21
42,29,476.0,2023-05-21
43,28,447.1,2023-05-21
44,29,357.5,2023-05-21
45,30,503.5,2023-05-21
46,28,351.3,2023-05-21
47,30,612.0,2023-05-21
48,21,136.0,2023-05-21
49,28,332.0,2023-05-21
50,29,445.0,2023-05-21
51,28,387.4,2023-05-21
52,29,316.5,2023-05-21
53,27,338.9,2023-05-21
54,28,316.4,2023-05-21
55,29,348.0,2023-05-21
56,30,357.1,2023-05-21
57,27,306.4,2023-05-21
58,26,341.6,2023-05-21
59,29,406.1,2023-05-21
60,28,355.3,2023-05-21
61,25,326.0,2023-05-21
62,30,520.4,2023-05-21
63,30,426.0,2023-05-21
64,26,244.8,2023-05-21
65,30,495.8,2023-05-21
66,30,446.5,2023-05-21
