,level,power,date
0,30,772.1,2023-05-22
1,30,650.2,2023-05-22
2,30,451.6,2023-05-22
3,30,562.9,2023-05-22
4,30,545.6,2023-05-22
5,30,545.6,2023-05-22
6,30,528.5,2023-05-22
7,30,446.2,2023-05-22
8,30,407.7,2023-05-22
9,30,341.1,2023-05-22
10,28,372.4,2023-05-22
11,24,240.6,2023-05-22
12,27,315.8,2023-05-22
13,29,414.3,2023-05-22
14,30,517.4,2023-05-22
15,28,326.0,2023-05-22
16,29,360.1,2023-05-22
17,28,374.9,2023-05-22
18,23,231.5,2023-05-22
19,28,391.9,2023-05-22
20,30,425.7,2023-05-22
21,30,543.0,2023-05-22
22,30,474.8,2023-05-22
23,29,404.6,2023-05-22
24,27,294.0,2023-05-22
25,29,344.7,2023-05-22
26,24,283.7,2023-05-22
27,26,266.4,2023-05-22
28,30,485.9,2023-05-22
29,25,255.4,2023-05-22
30,29,301.2,2023-05-22
31,27,258.8,2023-05-22
32,22,217.9,2023-05-22
33,24,274.4,2023-05-22
34,29,309.6,2023-05-22
35,30,590.2,2023-05-22
36,30,511.3,2023-05-22
37,26,306.7,2023-05-22
38,30,464.3,2023-05-22
39,24,164.2,2023-05-22
40,26,311.8,2023-05-22
41,30,409.8,2023-05-22
42,25,245.5,2023-05-22
43,30,500.5,2023-05-22
44,26,325.5,2023-05-22
45,24,266.0,2023-05-22
46,29,383.4,2023-05-22
47,27,293.7,2023-05-22
48,29,325.8,2023-05-22
49,23,229.7,2023-05-22
50,27,281.8,2023-05-22
51,29,342.9,2023-05-22
52,25,295.0,2023-05-22
53,25,286.0,2023-05-22
54,27,246.4,2023-05-22
55,27,264.7,2023-05-22
56,25,245.3,2023-05-22
57,26,229.6,2023-05-22
58,28,359.7,2023-05-22
59,27,260.8,2023-05-22
60,24,178.7,2023-05-22
61,28,282.8,2023-05-22
62,27,240.3,2023-05-22
63,26,166.2,2023-05-22
64,28,255.8,2023-05-22
65,27,361.7,2023-05-22
66,25,202.8,2023-05-22
67,25,193.5,2023-05-22
68,25,158.7,2023-05-22
69,29,339.6,2023-05-22
