,level,power,date
0,28,467.3,2023-05-21
1,30,456.4,2023-05-21
2,28,355.9,2023-05-21
3,28,452.5,2023-05-21
4,29,372.9,2023-05-21
5,28,426.5,2023-05-21
6,27,341.1,2023-05-21
7,26,347.9,2023-05-21
8,26,342.6,2023-05-21
9,21,105.2,2023-05-21
10,29,373.9,2023-05-21
11,30,559.8,2023-05-21
12,28,357.8,2023-05-21
13,26,387.4,2023-05-21
14,28,335.5,2023-05-21
15,29,515.9,2023-05-21
16,30,444.8,2023-05-21
17,29,443.4,2023-05-21
18,28,495.9,2023-05-21
19,27,383.9,2023-05-21
20,24,198.3,2023-05-21
21,30,571.5,2023-05-21
22,27,369.7,2023-05-21
23,29,428.7,2023-05-21
24,28,460.3,2023-05-21
25,29,383.3,2023-05-21
26,24,178.4,2023-05-21
27,28,444.9,2023-05-21
28,29,359.9,2023-05-21
29,24,342.9,2023-05-21
30,30,430.9,2023-05-21
31,30,571.3,2023-05-21
32,19,50.6,2023-05-21
33,20,53.9,2023-05-21
34,28,359.3,2023-05-21
35,27,354.1,2023-05-21
36,21,139.8,2023-05-21
37,27,307.1,2023-05-21
38,26,251.4,2023-05-21
39,25,353.7,2023-05-21
40,14,16.6,2023-05-21
41,16,20.8,2023-05-21
42,27,312.5,2023-05-21
43,25,290.3,2023-05-21
44,27,322.7,2023-05-21
45,28,382.5,2023-05-21
46,28,253.5,2023-05-21
47,28,389.8,2023-05-21
48,28,363.7,2023-05-21
49,25,293.7,2023-05-21
50,28,361.4,2023-05-21
51,26,314.5,2023-05-21
52,26,314.5,2023-05-21
53,30,412.2,2023-05-21
54,26,317.2,2023-05-21
55,27,327.4,2023-05-21
56,25,227.7,2023-05-21
57,28,357.3,2023-05-21
58,27,292.2,2023-05-21
59,28,334.6,2023-05-21
60,13,20.6,2023-05-21
61,23,124.4,2023-05-21
