,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,29,375.2,2023-05-24
1,1,1,1,1,1,1,1,30,543.3,2023-05-24
2,2,2,2,2,2,2,2,30,426.2,2023-05-24
3,3,3,3,3,3,3,3,30,411.5,2023-05-24
4,4,4,4,4,4,4,4,28,377.3,2023-05-24
5,5,5,5,5,5,5,5,30,442.8,2023-05-24
6,6,6,6,6,6,6,6,30,435.8,2023-05-24
7,7,7,7,7,7,7,7,29,411.6,2023-05-24
8,8,8,8,8,8,8,8,29,387.4,2023-05-24
9,9,9,9,9,9,9,9,29,386.8,2023-05-24
10,10,10,10,10,10,10,10,29,333.6,2023-05-24
11,11,11,11,11,11,11,11,27,325.5,2023-05-24
12,12,12,12,12,12,12,12,27,315.6,2023-05-24
13,13,13,13,13,13,13,13,27,307.8,2023-05-24
14,14,14,14,14,14,14,14,27,305.3,2023-05-24
15,15,15,15,15,15,15,15,27,282.7,2023-05-24
16,16,16,16,16,16,16,16,24,166.0,2023-05-24
17,17,17,17,17,17,17,17,22,157.1,2023-05-24
18,18,18,18,18,18,18,18,29,358.1,2023-05-24
19,19,19,19,19,19,19,19,26,319.5,2023-05-24
20,20,20,20,20,20,20,20,28,294.6,2023-05-24
21,21,21,21,21,21,21,21,25,259.2,2023-05-24
22,22,22,22,22,22,22,22,29,336.2,2023-05-24
23,23,23,23,23,23,23,23,27,336.7,2023-05-24
24,24,24,24,24,24,24,24,29,362.5,2023-05-24
25,25,25,25,25,25,25,25,27,313.6,2023-05-24
26,26,26,26,26,26,26,26,29,355.5,2023-05-24
27,27,27,27,27,27,27,27,26,298.1,2023-05-24
28,28,28,28,28,28,28,28,28,307.9,2023-05-24
29,29,29,29,29,29,29,29,30,493.5,2023-05-24
30,30,30,30,30,30,30,30,27,299.3,2023-05-24
31,31,31,31,31,31,31,31,29,344.6,2023-05-24
32,32,32,32,32,32,32,32,27,253.6,2023-05-24
33,33,33,33,33,33,33,33,28,271.4,2023-05-24
34,34,34,34,34,34,34,34,22,218.6,2023-05-24
35,35,35,35,35,35,35,35,29,351.9,2023-05-24
36,36,36,36,36,36,36,36,28,354.1,2023-05-24
37,37,37,37,37,37,37,37,27,273.8,2023-05-24
38,38,38,38,38,38,38,38,27,309.6,2023-05-24
39,39,39,39,39,39,39,39,28,280.2,2023-05-24
40,40,40,40,40,40,40,40,28,268.4,2023-05-24
41,41,41,41,41,41,41,41,28,365.6,2023-05-24
42,42,42,42,42,42,42,42,24,232.9,2023-05-24
43,43,43,43,43,43,43,43,28,280.1,2023-05-24
44,44,44,44,44,44,44,44,26,365.6,2023-05-24
45,45,45,45,45,45,45,45,26,272.8,2023-05-24
46,46,46,46,46,46,46,46,25,215.4,2023-05-24
47,47,47,47,47,47,47,47,30,314.9,2023-05-24
48,48,48,48,48,48,48,48,28,331.4,2023-05-24
49,49,49,49,49,49,49,49,26,240.6,2023-05-24
50,50,50,50,50,50,50,50,26,200.0,2023-05-24
51,51,51,51,51,51,51,51,27,239.5,2023-05-24
52,52,52,52,52,52,52,52,26,289.3,2023-05-24
53,53,53,53,53,53,53,53,24,220.9,2023-05-24
54,54,54,54,54,54,54,54,28,245.3,2023-05-24
55,55,55,55,55,55,55,55,28,334.1,2023-05-24
56,56,56,56,56,56,56,56,26,165.3,2023-05-24
57,57,57,57,57,57,57,57,18,65.7,2023-05-24
58,58,58,58,58,58,58,58,26,249.1,2023-05-24
59,59,59,59,59,59,59,59,26,204.3,2023-05-24
60,60,60,60,60,60,60,60,25,193.9,2023-05-24
61,61,61,61,61,61,61,61,25,210.7,2023-05-24
62,62,62,62,62,62,62,62,25,163.0,2023-05-24
63,63,63,63,63,63,63,63,25,201.4,2023-05-24
64,64,64,64,64,64,64,64,29,322.8,2023-05-24
65,65,65,65,65,65,65,65,27,254.2,2023-05-24
66,66,66,66,66,66,66,66,26,190.3,2023-05-24
