,level,power,date
0,30,583.9,2023-06-02
1,30,725.7,2023-06-02
2,30,625.3,2023-06-02
3,30,518.0,2023-06-02
4,30,700.9,2023-06-02
5,30,666.5,2023-06-02
6,30,640.7,2023-06-02
7,30,601.6,2023-06-02
8,30,574.1,2023-06-02
9,30,537.0,2023-06-02
10,29,440.4,2023-06-02
11,28,417.8,2023-06-02
12,27,480.9,2023-06-02
13,26,408.6,2023-06-02
14,30,480.0,2023-06-02
15,27,416.6,2023-06-02
16,25,348.7,2023-06-02
17,30,565.2,2023-06-02
18,30,458.9,2023-06-02
19,30,563.3,2023-06-02
20,27,386.6,2023-06-02
21,29,485.8,2023-06-02
22,30,505.2,2023-06-02
23,30,570.3,2023-06-02
24,27,428.1,2023-06-02
25,30,438.0,2023-06-02
26,30,523.3,2023-06-02
27,30,660.8,2023-06-02
28,30,664.5,2023-06-02
29,25,316.0,2023-06-02
30,30,485.9,2023-06-02
31,30,463.5,2023-06-02
32,28,244.8,2023-06-02
33,28,355.5,2023-06-02
34,30,671.9,2023-06-02
35,27,267.0,2023-06-02
36,27,344.1,2023-06-02
37,28,323.7,2023-06-02
38,30,504.9,2023-06-02
39,30,577.9,2023-06-02
40,30,435.8,2023-06-02
41,29,423.4,2023-06-02
42,30,473.5,2023-06-02
43,30,499.2,2023-06-02
44,28,405.9,2023-06-02
45,27,378.5,2023-06-02
46,30,508.1,2023-06-02
47,30,574.9,2023-06-02
48,29,372.0,2023-06-02
49,29,434.5,2023-06-02
50,29,423.1,2023-06-02
51,26,321.0,2023-06-02
52,30,395.8,2023-06-02
53,25,315.5,2023-06-02
54,28,269.7,2023-06-02
55,26,217.2,2023-06-02
56,29,321.8,2023-06-02
57,30,585.0,2023-06-02
58,30,440.0,2023-06-02
59,30,448.0,2023-06-02
60,26,298.4,2023-06-02
61,26,224.7,2023-06-02
62,26,262.5,2023-06-02
63,30,525.8,2023-06-02
64,27,232.4,2023-06-02
