,level,power,date
0,30,468.1,2023-05-21
1,30,610.8,2023-05-21
2,30,642.8,2023-05-21
3,30,503.9,2023-05-21
4,30,617.5,2023-05-21
5,30,655.9,2023-05-21
6,30,583.6,2023-05-21
7,30,488.9,2023-05-21
8,30,441.5,2023-05-21
9,30,434.0,2023-05-21
10,27,452.3,2023-05-21
11,30,528.7,2023-05-21
12,30,565.2,2023-05-21
13,30,546.7,2023-05-21
14,30,479.4,2023-05-21
15,30,577.2,2023-05-21
16,30,500.4,2023-05-21
17,30,422.2,2023-05-21
18,30,538.8,2023-05-21
19,28,238.4,2023-05-21
20,26,260.8,2023-05-21
21,27,452.6,2023-05-21
22,30,463.1,2023-05-21
23,30,469.2,2023-05-21
24,30,484.8,2023-05-21
25,30,476.3,2023-05-21
26,30,594.4,2023-05-21
27,30,499.8,2023-05-21
28,24,284.4,2023-05-21
29,30,607.3,2023-05-21
30,25,345.2,2023-05-21
31,30,494.4,2023-05-21
32,30,575.8,2023-05-21
33,30,529.1,2023-05-21
34,30,609.4,2023-05-21
35,27,359.1,2023-05-21
36,29,400.4,2023-05-21
37,25,286.8,2023-05-21
38,30,535.8,2023-05-21
39,26,151.0,2023-05-21
40,30,604.9,2023-05-21
41,21,95.6,2023-05-21
42,18,54.3,2023-05-21
43,30,632.9,2023-05-21
44,30,465.0,2023-05-21
45,30,495.7,2023-05-21
46,29,411.4,2023-05-21
47,30,708.4,2023-05-21
48,29,408.2,2023-05-21
49,30,760.2,2023-05-21
50,28,403.2,2023-05-21
51,29,418.3,2023-05-21
52,30,411.7,2023-05-21
53,26,327.0,2023-05-21
54,27,345.4,2023-05-21
55,23,159.8,2023-05-21
56,28,286.2,2023-05-21
57,29,425.9,2023-05-21
58,26,285.7,2023-05-21
59,27,401.3,2023-05-21
60,29,319.8,2023-05-21
61,30,537.6,2023-05-21
