,level,power,date
0,30,604.8,2023-05-02
1,30,752.5,2023-05-02
2,30,610.4,2023-05-02
3,30,390.4,2023-05-02
4,30,603.3,2023-05-02
5,30,587.8,2023-05-02
6,30,466.0,2023-05-02
7,30,453.7,2023-05-02
8,30,412.1,2023-05-02
9,27,317.7,2023-05-02
10,27,469.1,2023-05-02
11,28,246.1,2023-05-02
12,30,487.6,2023-05-02
13,30,476.1,2023-05-02
14,28,421.2,2023-05-02
15,30,541.6,2023-05-02
16,30,475.1,2023-05-02
17,30,602.1,2023-05-02
18,28,439.7,2023-05-02
19,30,422.0,2023-05-02
20,30,564.7,2023-05-02
21,30,4486.7,2023-05-02
22,30,585.8,2023-05-02
23,29,379.1,2023-05-02
24,29,415.4,2023-05-02
25,30,486.9,2023-05-02
26,30,422.9,2023-05-02
27,30,625.0,2023-05-02
28,30,479.3,2023-05-02
29,30,441.0,2023-05-02
30,30,550.2,2023-05-02
31,30,444.0,2023-05-02
32,29,403.9,2023-05-02
33,28,417.0,2023-05-02
34,29,429.0,2023-05-02
35,29,384.4,2023-05-02
36,30,464.6,2023-05-02
37,30,638.6,2023-05-02
38,30,410.9,2023-05-02
39,27,358.0,2023-05-02
40,30,502.0,2023-05-02
41,28,383.4,2023-05-02
42,29,384.2,2023-05-02
43,29,455.3,2023-05-02
44,29,486.4,2023-05-02
45,29,384.0,2023-05-02
46,30,459.2,2023-05-02
47,30,429.9,2023-05-02
48,30,617.4,2023-05-02
49,29,365.7,2023-05-02
50,28,412.0,2023-05-02
51,28,411.5,2023-05-02
52,27,340.5,2023-05-02
53,30,550.6,2023-05-02
54,28,427.2,2023-05-02
55,29,467.2,2023-05-02
56,30,461.9,2023-05-02
57,30,397.6,2023-05-02
58,30,586.3,2023-05-02
59,30,371.9,2023-05-02
60,29,386.3,2023-05-02
61,30,329.0,2023-05-02
62,25,297.8,2023-05-02
63,30,432.1,2023-05-02
64,30,744.3,2023-05-02
65,30,494.6,2023-05-02
