,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,29,442.9,2023-05-24
1,1,1,1,1,30,423.1,2023-05-24
2,2,2,2,2,29,393.7,2023-05-24
3,3,3,3,3,29,365.1,2023-05-24
4,4,4,4,4,29,357.4,2023-05-24
5,5,5,5,5,29,402.5,2023-05-24
6,6,6,6,6,29,341.0,2023-05-24
7,7,7,7,7,27,320.4,2023-05-24
8,8,8,8,8,27,286.7,2023-05-24
9,9,9,9,9,27,275.2,2023-05-24
10,10,10,10,10,26,251.8,2023-05-24
11,11,11,11,11,25,292.4,2023-05-24
12,12,12,12,12,23,231.8,2023-05-24
13,13,13,13,13,22,227.3,2023-05-24
14,14,14,14,14,28,372.9,2023-05-24
15,15,15,15,15,23,235.9,2023-05-24
16,16,16,16,16,23,280.8,2023-05-24
17,17,17,17,17,27,303.3,2023-05-24
18,18,18,18,18,20,122.8,2023-05-24
19,19,19,19,19,26,298.7,2023-05-24
20,20,20,20,20,24,269.4,2023-05-24
21,21,21,21,21,27,326.5,2023-05-24
22,22,22,22,22,27,335.1,2023-05-24
23,23,23,23,23,28,273.6,2023-05-24
24,24,24,24,24,26,323.4,2023-05-24
25,25,25,25,25,24,162.0,2023-05-24
26,26,26,26,26,27,326.1,2023-05-24
27,27,27,27,27,26,295.2,2023-05-24
28,28,28,28,28,26,294.7,2023-05-24
29,29,29,29,29,25,275.0,2023-05-24
30,30,30,30,30,25,301.3,2023-05-24
31,31,31,31,31,27,301.5,2023-05-24
32,32,32,32,32,25,332.1,2023-05-24
33,33,33,33,33,24,284.0,2023-05-24
34,34,34,34,34,25,250.4,2023-05-24
35,35,35,35,35,24,240.6,2023-05-24
36,36,36,36,36,28,309.4,2023-05-24
37,37,37,37,37,25,321.1,2023-05-24
38,38,38,38,38,29,368.7,2023-05-24
39,39,39,39,39,23,218.4,2023-05-24
40,40,40,40,40,28,326.5,2023-05-24
41,41,41,41,41,25,283.5,2023-05-24
42,42,42,42,42,25,186.2,2023-05-24
43,43,43,43,43,27,325.0,2023-05-24
44,44,44,44,44,23,175.1,2023-05-24
45,45,45,45,45,22,165.7,2023-05-24
46,46,46,46,46,24,257.9,2023-05-24
47,47,47,47,47,23,202.3,2023-05-24
48,48,48,48,48,25,293.1,2023-05-24
49,49,49,49,49,29,324.2,2023-05-24
50,50,50,50,50,24,173.1,2023-05-24
51,51,51,51,51,19,42.9,2023-05-24
52,52,52,52,52,26,240.9,2023-05-24
53,53,53,53,53,24,163.7,2023-05-24
54,54,54,54,54,23,213.2,2023-05-24
55,55,55,55,55,27,341.4,2023-05-24
56,56,56,56,56,23,155.9,2023-05-24
57,57,57,57,57,26,262.6,2023-05-24
58,58,58,58,58,23,231.8,2023-05-24
59,59,59,59,59,24,243.0,2023-05-24
60,60,60,60,60,28,3.1,2023-05-24
61,61,61,61,61,24,247.3,2023-05-24
62,62,62,62,62,21,126.7,2023-05-24
63,63,63,63,63,24,166.8,2023-05-24
64,64,64,64,64,23,197.8,2023-05-24
65,65,65,65,65,26,215.5,2023-05-24
66,66,66,66,66,25,274.9,2023-05-24
67,67,67,67,67,25,152.7,2023-05-24
68,68,68,68,68,24,145.4,2023-05-24
