,level,power,date
0,30,471.5,2023-06-02
1,27,523.6,2023-06-02
2,30,494.9,2023-06-02
3,29,472.3,2023-06-02
4,30,400.2,2023-06-02
5,30,608.0,2023-06-02
6,30,549.1,2023-06-02
7,29,407.0,2023-06-02
8,29,399.1,2023-06-02
9,28,401.8,2023-06-02
10,28,358.4,2023-06-02
11,24,266.6,2023-06-02
12,27,474.9,2023-06-02
13,29,359.5,2023-06-02
14,30,467.0,2023-06-02
15,30,583.6,2023-06-02
16,29,291.4,2023-06-02
17,29,339.1,2023-06-02
18,27,310.5,2023-06-02
19,29,438.1,2023-06-02
20,30,450.7,2023-06-02
21,30,641.9,2023-06-02
22,28,376.8,2023-06-02
23,27,300.6,2023-06-02
24,27,408.7,2023-06-02
25,28,246.4,2023-06-02
26,27,417.6,2023-06-02
27,29,390.1,2023-06-02
28,30,573.6,2023-06-02
29,28,309.2,2023-06-02
30,30,47.0,2023-06-02
31,27,330.8,2023-06-02
32,30,486.4,2023-06-02
33,30,426.1,2023-06-02
34,30,403.3,2023-06-02
35,29,412.4,2023-06-02
36,29,414.7,2023-06-02
37,29,363.2,2023-06-02
38,29,375.9,2023-06-02
39,29,355.6,2023-06-02
40,30,415.9,2023-06-02
41,23,153.6,2023-06-02
42,29,452.7,2023-06-02
43,26,275.6,2023-06-02
44,24,311.9,2023-06-02
45,29,336.2,2023-06-02
46,27,351.3,2023-06-02
47,29,356.5,2023-06-02
48,26,333.4,2023-06-02
49,25,243.8,2023-06-02
50,19,68.6,2023-06-02
51,28,354.0,2023-06-02
52,26,202.3,2023-06-02
53,26,282.0,2023-06-02
54,27,294.7,2023-06-02
55,29,378.0,2023-06-02
56,24,259.5,2023-06-02
57,10,9.5,2023-06-02
58,26,273.9,2023-06-02
59,29,412.5,2023-06-02
60,26,183.1,2023-06-02
61,27,388.9,2023-06-02
62,15,36.6,2023-06-02
63,28,360.6,2023-06-02
64,28,361.1,2023-06-02
65,17,40.6,2023-06-02
66,29,369.6,2023-06-02
67,22,179.0,2023-06-02
68,25,191.3,2023-06-02
