,level,power,date
0,30,447.2,2023-05-22
1,30,566.9,2023-05-22
2,30,474.8,2023-05-22
3,30,542.5,2023-05-22
4,30,513.3,2023-05-22
5,30,593.6,2023-05-22
6,30,582.9,2023-05-22
7,30,570.9,2023-05-22
8,30,569.8,2023-05-22
9,30,569.1,2023-05-22
10,30,561.2,2023-05-22
11,30,476.7,2023-05-22
12,30,475.2,2023-05-22
13,30,468.7,2023-05-22
14,30,387.9,2023-05-22
15,29,435.7,2023-05-22
16,29,421.3,2023-05-22
17,28,414.1,2023-05-22
18,28,410.3,2023-05-22
19,28,384.4,2023-05-22
20,28,401.6,2023-05-22
21,30,530.1,2023-05-22
22,30,481.0,2023-05-22
23,28,444.4,2023-05-22
24,30,497.2,2023-05-22
25,30,572.6,2023-05-22
26,28,418.6,2023-05-22
27,30,645.2,2023-05-22
28,30,744.9,2023-05-22
29,28,497.7,2023-05-22
30,30,409.5,2023-05-22
31,30,499.7,2023-05-22
32,30,434.3,2023-05-22
33,30,499.6,2023-05-22
34,30,571.5,2023-05-22
35,30,449.0,2023-05-22
36,30,597.0,2023-05-22
37,30,540.5,2023-05-22
38,30,538.7,2023-05-22
39,30,379.7,2023-05-22
40,30,414.1,2023-05-22
41,30,453.6,2023-05-22
42,30,415.7,2023-05-22
43,28,342.5,2023-05-22
44,26,246.0,2023-05-22
45,28,451.4,2023-05-22
46,30,519.6,2023-05-22
47,30,543.8,2023-05-22
48,27,362.7,2023-05-22
49,27,434.2,2023-05-22
50,28,304.8,2023-05-22
51,29,411.3,2023-05-22
52,28,401.8,2023-05-22
53,28,438.1,2023-05-22
54,27,370.4,2023-05-22
55,30,515.3,2023-05-22
56,27,359.7,2023-05-22
57,28,382.9,2023-05-22
58,29,483.6,2023-05-22
59,29,451.1,2023-05-22
60,30,453.8,2023-05-22
61,28,296.6,2023-05-22
62,30,522.4,2023-05-22
63,30,570.6,2023-05-22
64,29,358.2,2023-05-22
65,27,268.1,2023-05-22
66,26,290.9,2023-05-22
67,25,354.2,2023-05-22
68,29,365.1,2023-05-22
69,29,312.6,2023-05-22
