,level,power,date
0,30,425.5,2023-05-16
1,25,308.8,2023-05-16
2,24,310.5,2023-05-16
3,30,489.4,2023-05-16
4,29,346.3,2023-05-16
5,29,371.7,2023-05-16
6,29,345.7,2023-05-16
7,27,386.8,2023-05-16
8,25,351.9,2023-05-16
9,24,299.7,2023-05-16
10,23,297.8,2023-05-16
11,21,204.8,2023-05-16
12,25,211.9,2023-05-16
13,29,305.7,2023-05-16
14,17,108.9,2023-05-16
15,25,318.6,2023-05-16
16,28,380.7,2023-05-16
17,26,316.3,2023-05-16
18,29,350.9,2023-05-16
19,24,145.1,2023-05-16
20,29,385.0,2023-05-16
21,30,383.2,2023-05-16
22,29,362.1,2023-05-16
23,26,304.9,2023-05-16
24,30,388.1,2023-05-16
25,20,87.2,2023-05-16
26,26,288.5,2023-05-16
27,26,229.9,2023-05-16
28,25,263.2,2023-05-16
29,19,80.8,2023-05-16
30,30,358.2,2023-05-16
31,24,161.6,2023-05-16
32,27,278.5,2023-05-16
33,24,250.1,2023-05-16
34,23,121.2,2023-05-16
35,29,311.2,2023-05-16
36,22,147.5,2023-05-16
37,28,368.4,2023-05-16
38,26,355.3,2023-05-16
39,26,372.1,2023-05-16
40,27,261.6,2023-05-16
41,29,398.1,2023-05-16
42,26,263.8,2023-05-16
43,29,343.9,2023-05-16
44,15,49.3,2023-05-16
45,26,238.0,2023-05-16
46,27,234.3,2023-05-16
47,26,225.1,2023-05-16
48,29,304.6,2023-05-16
49,26,268.9,2023-05-16
50,24,141.1,2023-05-16
51,23,158.5,2023-05-16
52,21,88.3,2023-05-16
53,21,170.6,2023-05-16
54,26,200.1,2023-05-16
55,10,12.2,2023-05-16
56,23,121.3,2023-05-16
57,22,176.6,2023-05-16
58,25,244.6,2023-05-16
59,23,199.2,2023-05-16
60,25,214.7,2023-05-16
61,26,218.6,2023-05-16
