,level,power,date
0,29,361.2,2023-05-21
1,30,664.0,2023-05-21
2,30,695.9,2023-05-21
3,30,542.1,2023-05-21
4,30,571.6,2023-05-21
5,30,530.6,2023-05-21
6,30,490.5,2023-05-21
7,26,267.2,2023-05-21
8,24,381.4,2023-05-21
9,30,437.3,2023-05-21
10,19,150.7,2023-05-21
11,27,392.2,2023-05-21
12,29,322.4,2023-05-21
13,30,460.5,2023-05-21
14,29,472.7,2023-05-21
15,30,481.8,2023-05-21
16,24,287.4,2023-05-21
17,26,285.4,2023-05-21
18,29,440.1,2023-05-21
19,30,459.8,2023-05-21
20,21,128.2,2023-05-21
21,29,468.1,2023-05-21
22,27,279.1,2023-05-21
23,28,377.6,2023-05-21
24,30,426.8,2023-05-21
25,30,535.0,2023-05-21
26,30,543.5,2023-05-21
27,30,455.3,2023-05-21
28,30,535.6,2023-05-21
29,30,529.3,2023-05-21
30,27,432.6,2023-05-21
31,27,373.3,2023-05-21
32,30,521.7,2023-05-21
33,29,502.9,2023-05-21
34,25,309.3,2023-05-21
35,26,374.2,2023-05-21
36,30,404.0,2023-05-21
37,29,327.1,2023-05-21
38,27,284.1,2023-05-21
39,25,265.7,2023-05-21
40,30,497.6,2023-05-21
41,28,384.1,2023-05-21
42,28,357.6,2023-05-21
43,26,305.3,2023-05-21
44,28,360.4,2023-05-21
45,26,337.4,2023-05-21
46,30,424.6,2023-05-21
47,29,481.5,2023-05-21
48,27,331.3,2023-05-21
49,27,336.0,2023-05-21
50,26,275.9,2023-05-21
51,23,252.4,2023-05-21
52,26,232.2,2023-05-21
53,26,262.7,2023-05-21
54,29,406.6,2023-05-21
55,29,402.9,2023-05-21
56,28,412.8,2023-05-21
57,23,174.2,2023-05-21
58,30,482.6,2023-05-21
59,27,306.3,2023-05-21
60,30,556.4,2023-05-21
61,26,235.8,2023-05-21
62,28,290.4,2023-05-21
