,level,power,date
0,30,531.7,2023-05-26
1,30,724.3,2023-05-26
2,30,585.1,2023-05-26
3,30,590.7,2023-05-26
4,30,619.5,2023-05-26
5,30,738.2,2023-05-26
6,30,729.7,2023-05-26
7,30,725.8,2023-05-26
8,30,707.3,2023-05-26
9,30,696.4,2023-05-26
10,30,632.6,2023-05-26
11,30,629.7,2023-05-26
12,30,624.0,2023-05-26
13,30,583.2,2023-05-26
14,30,546.4,2023-05-26
15,30,545.1,2023-05-26
16,29,343.8,2023-05-26
17,30,630.9,2023-05-26
18,30,454.0,2023-05-26
19,30,684.5,2023-05-26
20,30,601.9,2023-05-26
21,30,578.4,2023-05-26
22,29,342.6,2023-05-26
23,30,490.4,2023-05-26
24,30,429.0,2023-05-26
25,30,714.3,2023-05-26
26,30,590.0,2023-05-26
27,30,728.7,2023-05-26
28,30,579.3,2023-05-26
29,30,500.2,2023-05-26
30,30,667.5,2023-05-26
31,30,583.3,2023-05-26
32,30,464.1,2023-05-26
33,30,667.1,2023-05-26
34,26,350.1,2023-05-26
35,30,574.8,2023-05-26
36,30,600.2,2023-05-26
37,29,401.4,2023-05-26
38,30,726.0,2023-05-26
39,30,611.5,2023-05-26
40,30,726.8,2023-05-26
41,30,729.1,2023-05-26
42,30,611.9,2023-05-26
43,30,455.4,2023-05-26
44,30,663.8,2023-05-26
45,30,501.4,2023-05-26
46,30,640.6,2023-05-26
47,30,642.2,2023-05-26
48,30,583.3,2023-05-26
49,30,658.2,2023-05-26
50,30,617.3,2023-05-26
51,30,652.3,2023-05-26
52,29,422.2,2023-05-26
53,28,320.1,2023-05-26
54,30,603.8,2023-05-26
55,30,500.9,2023-05-26
56,29,396.9,2023-05-26
57,29,318.6,2023-05-26
58,30,691.9,2023-05-26
59,30,506.9,2023-05-26
60,30,579.1,2023-05-26
61,30,551.5,2023-05-26
62,29,366.6,2023-05-26
63,30,724.4,2023-05-26
64,30,566.6,2023-05-26
65,30,715.4,2023-05-26
66,30,503.3,2023-05-26
67,30,469.2,2023-05-26
